,,Share with student loan debt,,,,Median student loan debt,,,,Share student loan holders with student loan debt in collections,,,,Median student loan debt in collections,,,,Median monthly student loan payment,,,,Share people with a credit record who have student loan debt in collections,,,,Nonwhite population share,,Share without a bachelor's degree,,,,Average household income,,
Shannon County,Missouri,13%,13%,n/a**,,n/a*,n/a*,n/a**,,31%,31%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,6%,,85%,85%,84%,,"$46,848","$47,783","$30,656"
Shelby County,Missouri,16%,16%,n/a**,,n/a*,n/a*,n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,3%,,87%,87%,77%,,"$49,439","$49,806","$24,347"
Stoddard County,Missouri,16%,16%,n/a**,,"$13,286","$13,286",n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,$155,$155,n/a**,,2%,2%,n/a**,,4%,,86%,86%,89%,,"$51,521","$51,751","$42,568"
Stone County,Missouri,12%,12%,n/a**,,"$16,182","$16,182",n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,84%,84%,83%,,"$52,796","$53,214","$41,172"
Sullivan County,Missouri,10%,10%,n/a**,,n/a*,n/a*,n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,21%,,87%,86%,94%,,"$48,817","$48,768","$49,148"
Taney County,Missouri,12%,12%,n/a**,,"$11,159","$11,159",n/a**,,15%,14%,n/a**,,n/a*,n/a*,n/a**,,$133,$135,n/a**,,2%,2%,n/a**,,10%,,82%,81%,88%,,"$50,243","$50,017","$53,456"
Texas County,Missouri,13%,13%,n/a**,,"$18,604","$18,604",n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,9%,,87%,87%,91%,,"$46,150","$46,412","$37,762"
Vernon County,Missouri,13%,13%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,6%,,84%,84%,83%,,"$51,303","$51,953","$37,206"
Warren County,Missouri,14%,14%,n/a**,,"$13,826","$13,826",n/a**,,13%,12%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,8%,,84%,84%,88%,,"$64,593","$65,590","$43,239"
Washington County,Missouri,13%,13%,n/a**,,n/a*,n/a*,n/a**,,16%,16%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,93%,93%,86%,,"$46,890","$46,743","$51,473"
Wayne County,Missouri,8%,8%,n/a**,,n/a*,n/a*,n/a**,,31%,31%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,89%,89%,83%,,"$44,469","$45,035","$30,747"
Webster County,Missouri,14%,14%,n/a**,,"$14,227","$14,227",n/a**,,19%,19%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,5%,,84%,84%,81%,,"$54,904","$55,392","$44,183"
Worth County,Missouri,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,,83%,83%,74%,,"$54,629","$54,608","$56,318"
Wright County,Missouri,13%,13%,n/a**,,n/a*,n/a*,n/a**,,26%,26%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,5%,,88%,88%,80%,,"$45,509","$41,145","$138,937"
St. Louis city,Missouri,22%,21%,20%,,"$20,841","$23,028","$18,156",,18%,16%,24%,,"$10,406","$12,805","$7,384",,$196,$202,$182,,4%,3%,5%,,56%,,65%,49%,81%,,"$57,200","$74,401","$40,499"
Beaverhead County,Montana,22%,22%,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,8%,,70%,69%,82%,,"$59,520","$60,355","$44,655"
Big Horn County,Montana,12%,n/a*,13%,,n/a*,n/a*,n/a*,,15%,n/a*,17%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,n/a*,2%,,71%,,84%,79%,88%,,"$54,198","$62,619","$46,829"
Blaine County,Montana,18%,n/a*,22%,,n/a*,n/a*,n/a*,,25%,n/a*,36%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,4%,n/a*,8%,,53%,,80%,77%,83%,,"$47,951","$55,633","$37,630"
Broadwater County,Montana,15%,15%,n/a**,,n/a*,n/a*,n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,6%,,76%,76%,86%,,"$67,384","$67,579","$62,439"
Carbon County,Montana,11%,11%,n/a**,,n/a*,n/a*,n/a**,,5%,5%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,5%,,71%,70%,83%,,"$62,133","$62,523","$46,921"
Carter County,Montana,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,,84%,85%,71%,,"$65,296","$65,359","$57,475"
Cascade County,Montana,16%,16%,n/a**,,"$16,157","$15,827",n/a**,,12%,13%,n/a**,,n/a*,n/a*,n/a**,,$171,$173,n/a**,,2%,2%,n/a**,,14%,,74%,74%,81%,,"$65,494","$69,641","$35,629"
Chouteau County,Montana,6%,6%,n/a*,,n/a*,n/a*,n/a*,,0%,0%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,0%,0%,n/a*,,24%,,77%,74%,90%,,"$55,034","$58,762","$35,582"
Custer County,Montana,11%,11%,n/a**,,n/a*,n/a*,n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,7%,,80%,80%,80%,,"$60,630","$60,266","$69,423"
Daniels County,Montana,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,,78%,78%,81%,,"$67,433","$66,987","$85,395"
Dawson County,Montana,14%,14%,n/a**,,n/a*,n/a*,n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,7%,,81%,80%,95%,,"$65,390","$67,230","$31,043"
Deer Lodge County,Montana,14%,14%,n/a**,,n/a*,n/a*,n/a**,,25%,25%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,9%,,83%,82%,95%,,"$51,502","$51,852","$44,769"
Fallon County,Montana,19%,19%,n/a**,,n/a*,n/a*,n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,84%,84%,84%,,"$77,600","$78,132","$63,000"
Fergus County,Montana,15%,15%,n/a**,,n/a*,n/a*,n/a**,,28%,28%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,6%,,72%,71%,91%,,"$56,973","$58,447","$34,155"
Flathead County,Montana,12%,12%,n/a**,,"$15,218","$15,002",n/a**,,13%,12%,n/a**,,n/a*,n/a*,n/a**,,$157,$158,n/a**,,2%,1%,n/a**,,7%,,71%,71%,78%,,"$68,269","$68,670","$58,975"
Gallatin County,Montana,21%,21%,n/a**,,"$18,721","$18,587",n/a**,,11%,10%,n/a**,,n/a*,n/a*,n/a**,,$188,$184,n/a**,,2%,2%,n/a**,,7%,,49%,48%,60%,,"$79,205","$80,653","$51,780"
Garfield County,Montana,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,,85%,85%,100%,,"$59,487","$61,184","$14,825"
Glacier County,Montana,9%,3%,13%,,n/a*,n/a*,n/a*,,19%,0%,25%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,0%,3%,,68%,,82%,73%,88%,,"$47,286","$64,173","$38,161"
Golden Valley County,Montana,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,5%,,80%,80%,64%,,"$47,592","$47,264","$57,760"
Granite County,Montana,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,,74%,74%,81%,,"$60,030","$60,243","$44,326"
Hill County,Montana,12%,13%,n/a*,,n/a*,n/a*,n/a*,,10%,4%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,0%,n/a*,,29%,,77%,73%,90%,,"$54,805","$58,008","$41,722"
Jefferson County,Montana,18%,18%,n/a**,,n/a*,n/a*,n/a**,,6%,6%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,7%,,67%,67%,81%,,"$75,920","$74,962","$96,075"
Judith Basin County,Montana,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,,70%,70%,55%,,"$58,481","$59,052","$43,245"
Lake County,Montana,12%,12%,n/a*,,"$11,475",n/a*,n/a*,,15%,9%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,1%,n/a*,,34%,,76%,73%,83%,,"$54,173","$58,968","$41,519"
Lewis and Clark County,Montana,17%,17%,n/a**,,"$15,576","$15,371",n/a**,,11%,10%,n/a**,,n/a*,n/a*,n/a**,,$174,$174,n/a**,,2%,2%,n/a**,,8%,,63%,62%,77%,,"$69,520","$71,356","$42,430"
Liberty County,Montana,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,,78%,78%,77%,,"$60,915","$60,810","$73,800"
Lincoln County,Montana,9%,9%,n/a**,,n/a*,n/a*,n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,6%,,81%,80%,84%,,"$49,440","$49,074","$58,985"
McCone County,Montana,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,5%,,83%,82%,88%,,"$64,268","$63,409","$142,538"
Madison County,Montana,11%,11%,n/a**,,n/a*,n/a*,n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,6%,,74%,73%,92%,,"$63,742","$64,305","$45,329"
Meagher County,Montana,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,,77%,77%,53%,,"$49,325","$49,705","$23,555"
Mineral County,Montana,10%,10%,n/a**,,n/a*,n/a*,n/a**,,50%,50%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,5%,5%,n/a**,,3%,,87%,87%,72%,,"$47,743","$47,928","$38,283"
Missoula County,Montana,21%,22%,n/a**,,"$18,921","$18,807",n/a**,,10%,9%,n/a**,,n/a*,n/a*,n/a**,,$168,$168,n/a**,,2%,2%,n/a**,,10%,,57%,57%,60%,,"$60,771","$62,069","$47,833"
Musselshell County,Montana,8%,8%,n/a**,,n/a*,n/a*,n/a**,,33%,33%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,7%,,83%,84%,76%,,"$53,893","$53,357","$65,519"
Park County,Montana,13%,13%,n/a**,,n/a*,n/a*,n/a**,,16%,16%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,6%,,65%,65%,64%,,"$59,139","$60,580","$32,288"
Petroleum County,Montana,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,,79%,79%,0%,,"$54,110","$54,110",$0
Phillips County,Montana,14%,18%,n/a*,,n/a*,n/a*,n/a*,,20%,20%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,4%,n/a*,,14%,,81%,80%,84%,,"$50,080","$50,817","$43,985"
Pondera County,Montana,9%,8%,n/a*,,n/a*,n/a*,n/a*,,0%,0%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,0%,0%,n/a*,,19%,,78%,77%,84%,,"$58,594","$61,328","$38,076"
Powder River County,Montana,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,6%,,76%,75%,80%,,"$61,846","$62,113","$56,508"
Powell County,Montana,16%,16%,n/a**,,n/a*,n/a*,n/a**,,22%,22%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,9%,,81%,80%,91%,,"$56,453","$56,847","$28,467"
Prairie County,Montana,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,,84%,84%,97%,,"$55,052","$54,956","$57,239"
Ravalli County,Montana,12%,12%,n/a**,,"$15,720","$15,720",n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,$190,$190,n/a**,,1%,1%,n/a**,,7%,,76%,75%,88%,,"$51,948","$52,147","$47,756"
Richland County,Montana,15%,15%,n/a*,,n/a*,n/a*,n/a*,,15%,15%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,2%,n/a*,,9%,,84%,83%,89%,,"$82,001","$84,215","$55,172"
Roosevelt County,Montana,13%,n/a*,13%,,n/a*,n/a*,n/a*,,32%,n/a*,29%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,4%,n/a*,4%,,63%,,87%,80%,92%,,"$50,701","$68,307","$34,262"
Rosebud County,Montana,17%,n/a*,16%,,n/a*,n/a*,n/a*,,12%,n/a*,25%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,n/a*,4%,,41%,,80%,77%,87%,,"$62,664","$68,895","$47,684"
Sanders County,Montana,9%,9%,n/a**,,n/a*,n/a*,n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,10%,,84%,83%,90%,,"$44,573","$44,657","$43,506"
Sheridan County,Montana,12%,12%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,8%,,79%,78%,94%,,"$67,890","$70,408","$30,724"
Silver Bow County,Montana,18%,18%,n/a**,,"$16,732","$16,732",n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,$159,$159,n/a**,,2%,3%,n/a**,,9%,,75%,75%,84%,,"$53,588","$54,297","$43,347"
Stillwater County,Montana,10%,10%,n/a**,,n/a*,n/a*,n/a**,,19%,19%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,6%,,76%,76%,89%,,"$69,706","$70,136","$58,224"
Sweet Grass County,Montana,11%,11%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,6%,,75%,75%,81%,,"$64,552","$64,804","$56,336"
Teton County,Montana,13%,13%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,6%,,77%,76%,83%,,"$60,053","$61,270","$30,327"
Toole County,Montana,10%,10%,n/a**,,n/a*,n/a*,n/a**,,38%,38%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,12%,,87%,86%,94%,,"$54,624","$51,944","$81,308"
Treasure County,Montana,13%,13%,n/a**,,n/a*,n/a*,n/a**,,25%,25%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,11%,,81%,80%,92%,,"$46,473","$47,633","$31,881"
Valley County,Montana,9%,9%,n/a*,,n/a*,n/a*,n/a*,,9%,9%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,1%,n/a*,,14%,,81%,79%,91%,,"$60,364","$62,664","$40,943"
Wheatland County,Montana,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,5%,,82%,82%,87%,,"$44,732","$44,673","$47,265"
Wibaux County,Montana,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,,80%,80%,40%,,"$49,833","$49,199","$143,933"
Yellowstone County,Montana,17%,17%,n/a**,,"$14,179","$14,431",n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,$157,$157,n/a**,,2%,2%,n/a**,,13%,,70%,69%,85%,,"$74,245","$76,114","$54,197"
Adams County,Nebraska,15%,16%,n/a**,,"$12,093","$12,093",n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,12%,,77%,76%,87%,,"$67,906","$67,926","$67,644"
Antelope County,Nebraska,10%,10%,n/a**,,n/a*,n/a*,n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,4%,,82%,82%,95%,,"$61,294","$60,956","$74,561"
Arthur County,Nebraska,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,,67%,68%,0%,,"$53,697","$53,940","$32,050"
Banner County,Nebraska,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,6%,,83%,83%,80%,,"$73,819","$75,840","$18,733"
Blaine County,Nebraska,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,,82%,82%,100%,,"$55,628","$56,175","$24,550"
Boone County,Nebraska,20%,20%,n/a**,,n/a*,n/a*,n/a**,,5%,5%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,2%,,83%,83%,80%,,"$65,395","$65,579","$45,075"
Box Butte County,Nebraska,19%,19%,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,17%,,84%,82%,98%,,"$62,039","$64,215","$45,376"
Boyd County,Nebraska,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,,82%,82%,81%,,"$52,037","$52,156","$42,917"
Brown County,Nebraska,16%,16%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,3%,,84%,83%,98%,,"$52,971","$53,589","$29,651"
Buffalo County,Nebraska,21%,22%,n/a**,,"$12,368","$12,184",n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,$115,$110,n/a**,,2%,2%,n/a**,,12%,,67%,66%,81%,,"$68,763","$70,854","$45,876"
Burt County,Nebraska,18%,18%,n/a**,,n/a*,n/a*,n/a**,,26%,26%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,5%,5%,n/a**,,6%,,83%,83%,92%,,"$58,179","$59,090","$34,547"
Butler County,Nebraska,13%,13%,n/a**,,n/a*,n/a*,n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,85%,85%,87%,,"$69,515","$70,229","$42,173"
Cass County,Nebraska,15%,15%,n/a**,,"$14,507","$14,507",n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,5%,,75%,75%,73%,,"$78,702","$79,069","$66,943"
Cedar County,Nebraska,16%,16%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,3%,,82%,82%,89%,,"$66,675","$67,281","$29,291"
Chase County,Nebraska,11%,11%,n/a**,,n/a*,n/a*,n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,13%,,82%,80%,97%,,"$68,623","$71,766","$34,378"
Cherry County,Nebraska,16%,16%,n/a**,,n/a*,n/a*,n/a**,,31%,31%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,5%,5%,n/a**,,11%,,80%,80%,81%,,"$59,894","$61,251","$39,544"
Cheyenne County,Nebraska,17%,17%,n/a**,,n/a*,n/a*,n/a**,,7%,7%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,10%,,77%,76%,88%,,"$67,912","$68,054","$65,367"
Clay County,Nebraska,13%,13%,n/a**,,n/a*,n/a*,n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,11%,,81%,80%,93%,,"$64,079","$65,659","$40,446"
Colfax County,Nebraska,13%,20%,9%,,n/a*,n/a*,n/a*,,10%,8%,13%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,2%,1%,,46%,,87%,81%,98%,,"$62,954","$68,407","$51,294"
Cuming County,Nebraska,17%,17%,n/a**,,n/a*,n/a*,n/a**,,7%,7%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,11%,,81%,80%,95%,,"$60,466","$62,603","$34,263"
Custer County,Nebraska,16%,16%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,4%,,79%,79%,79%,,"$67,536","$67,285","$78,509"
Dakota County,Nebraska,16%,18%,n/a**,,"$13,302",n/a*,n/a**,,9%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,0%,n/a**,,48%,,89%,85%,95%,,"$58,042","$66,719","$43,239"
Dawes County,Nebraska,19%,19%,n/a**,,n/a*,n/a*,n/a**,,19%,19%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,14%,,67%,64%,84%,,"$52,282","$52,536","$50,071"
Dawson County,Nebraska,12%,13%,10%,,n/a*,n/a*,n/a*,,12%,12%,12%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,2%,1%,,38%,,85%,80%,96%,,"$58,570","$62,574","$47,702"
Deuel County,Nebraska,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,11%,,83%,82%,89%,,"$61,419","$62,882","$47,463"
Dixon County,Nebraska,14%,14%,n/a**,,n/a*,n/a*,n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,13%,,82%,80%,95%,,"$60,666","$61,738","$46,398"
Dodge County,Nebraska,15%,15%,n/a**,,"$16,686","$16,686",n/a**,,9%,9%,n/a**,,n/a*,n/a*,n/a**,,$154,$154,n/a**,,1%,1%,n/a**,,14%,,81%,80%,92%,,"$60,727","$62,841","$37,446"
Douglas County,Nebraska,19%,20%,14%,,"$17,849","$18,404","$9,442",,11%,8%,25%,,"$8,524","$9,219",n/a*,,$177,$185,$112,,2%,2%,3%,,30%,,62%,57%,78%,,"$80,469","$90,684","$47,453"
Dundy County,Nebraska,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,11%,,80%,80%,88%,,"$64,350","$66,386","$36,840"
Fillmore County,Nebraska,13%,13%,n/a**,,n/a*,n/a*,n/a**,,7%,7%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,5%,,82%,81%,89%,,"$63,371","$64,049","$33,109"
Franklin County,Nebraska,11%,11%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,3%,,81%,81%,95%,,"$62,948","$63,015","$60,274"
Frontier County,Nebraska,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,,82%,82%,88%,,"$60,884","$60,916","$58,567"
Furnas County,Nebraska,18%,18%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,5%,,83%,82%,98%,,"$49,626","$49,983","$33,718"
Gage County,Nebraska,18%,18%,n/a**,,"$13,169","$13,169",n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,80%,80%,94%,,"$60,731","$61,043","$52,330"
Garden County,Nebraska,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,,76%,76%,85%,,"$64,789","$64,961","$40,717"
Garfield County,Nebraska,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,,84%,84%,86%,,"$49,621","$50,060","$25,319"
Gosper County,Nebraska,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,,81%,80%,100%,,"$66,837","$67,240","$27,488"
